,Unnamed: 0,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
0,0,12,33.0,22,1,0,54.54,2,lbw,1,Sri Lanka,Dambulla,18-Aug-08
1,1,37,82.0,67,6,0,55.22,2,caught,2,Sri Lanka,Dambulla,20-Aug-08
2,2,25,40.0,38,4,0,65.78,1,run out,1,Sri Lanka,Colombo (RPS),24-Aug-08
3,3,54,87.0,66,7,0,81.81,1,bowled,1,Sri Lanka,Colombo (RPS),27-Aug-08
4,4,31,45.0,46,3,1,67.39,1,lbw,2,Sri Lanka,Colombo (RPS),29-Aug-08
5,5,2,6.0,2,0,0,100.0,7,not out,1,Sri Lanka,Colombo (RPS),14-Sep-09
6,6,16,28.0,24,1,0,66.66,4,caught,2,Pakistan,Centurion,26-Sep-09
7,7,79,121.0,104,9,2,75.96,4,not out,2,West Indies,Johannesburg,30-Sep-09
8,8,30,53.0,41,3,0,73.17,4,caught,2,Australia,Vadodara,25-Oct-09
9,9,10,32.0,16,1,0,62.5,3,caught,2,Australia,Mohali,02-Nov-09
10,10,27,20.0,19,4,0,142.1,7,bowled,1,Sri Lanka,Rajkot,15-Dec-09
11,11,54,93.0,65,7,0,83.07,4,lbw,1,Sri Lanka,Nagpur,18-Dec-09
12,12,107,72.88796680497926,114,11,1,93.85,4,caught,2,Sri Lanka,Eden Gardens,24-Dec-09
13,13,9,19.0,12,1,0,75.0,3,caught,1,Sri Lanka,Mirpur,05-Jan-10
14,14,91,136.0,102,7,0,89.21,3,caught,2,Bangladesh,Mirpur,07-Jan-10
15,15,71,98.0,68,9,0,104.41,3,not out,2,Sri Lanka,Mirpur,10-Jan-10
16,16,102,128.0,95,11,0,107.36,3,not out,2,Bangladesh,Mirpur,11-Jan-10
17,17,2,6.0,8,0,0,25.0,3,caught,1,Sri Lanka,Mirpur,13-Jan-10
18,18,31,72.88796680497926,46,1,0,67.39,5,caught,1,South Africa,Jaipur,21-Feb-10
19,19,57,72.88796680497926,71,4,1,80.28,3,caught,2,South Africa,Ahmedabad,27-Feb-10
20,20,0,3.0,0,0,0,0.0,3,run out,1,Zimbabwe,Bulawayo,28-May-10
21,21,82,125.0,92,4,0,89.13,3,caught,2,Sri Lanka,Bulawayo,30-May-10
22,22,18,28.0,29,1,0,62.06,3,caught,1,Zimbabwe,Harare,03-Jun-10
23,23,68,123.0,95,5,0,71.57,3,caught,1,Sri Lanka,Harare,05-Jun-10
24,24,11,35.0,22,0,0,50.0,3,stumped,2,Bangladesh,Dambulla,16-Jun-10
25,25,18,31.0,27,1,0,66.66,3,bowled,2,Pakistan,Dambulla,19-Jun-10
26,26,10,13.0,14,1,0,71.42,3,caught,1,Sri Lanka,Dambulla,22-Jun-10
27,27,28,57.0,34,4,0,82.35,3,caught,1,Sri Lanka,Dambulla,24-Jun-10
28,28,0,5.0,3,0,0,0.0,3,caught,2,Sri Lanka,Dambulla,16-Aug-10
29,29,8,22.0,16,1,0,50.0,3,caught,1,New Zealand,Dambulla,25-Aug-10
30,30,37,98.0,57,5,0,64.91,3,caught,2,Sri Lanka,Dambulla,28-Aug-10
31,31,118,193.0,121,11,1,97.52,3,caught,2,Australia,Visakhapatnam,20-Oct-10
